Year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1995,6.019797619067501,6.58060970137255,5.874154587575758,4.849276178947368,10.974001144999999,4.071304597142857,4.8913884627272735
1996,5.787041490548964,6.759379560196079,5.902299521818181,4.879204039473684,10.84037681,4.428175332857142,4.8472540556818196
1997,5.749654721178808,6.757658865490196,5.917669933939393,4.977071788947369,10.783365270000001,4.5206459542857145,4.865169480227272
1998,5.721553073408818,6.763278393529415,5.986671333636363,5.176368849999999,10.907379835,4.909939972857143,5.0213541249999984
1999,5.815614058049785,6.741746647058824,6.015103024545457,5.095973125263158,10.859980305,4.713191409999999,5.0133677795454545
2000,6.162531750288031,6.715334922549019,5.951184718787879,4.9300906921052645,10.869200085,4.784257171428572,4.927142511136364
2001,6.42279595579054,6.859459634313725,6.052862507878789,5.18794059631579,11.4123159,4.356368694285715,5.006961972499999
2002,6.3596045304082836,7.1156389696078435,6.024794823333334,5.280184997894737,11.95968311,4.682118578571428,5.087991934090909
2003,6.775529688200416,7.334017822156864,6.017631623939394,5.2811708842105265,12.29950631,4.236348231428571,5.241954783181819
2004,6.590811335323353,7.3867620631372555,5.989050053636363,5.137254539473685,12.34579797,4.256498492857142,5.359399866590909
2005,6.7408351447841435,7.423474451764707,6.06073151939394,4.949640042105264,12.36329469,4.923332532857143,5.4782320084090905
2006,6.825323806687143,7.329430171960784,6.005281905757576,4.8894172826315785,12.510409365000001,4.691916008571428,5.595725284090909
2007,7.011354110959103,7.258012166078431,6.122562334545454,4.931445420526317,12.700463880000001,4.642725248571429,5.44370469159091
2008,6.824432621873583,7.44646102235294,6.321764487272727,4.845830982631579,13.02703863,5.172889102857143,5.451720282499999
2009,6.93076748007102,8.057665410784315,6.856748794545453,5.487409165263158,14.086117565,5.03533624,5.778886572272727
2010,6.922043716104652,7.925823686470587,6.703594413030302,5.294720424736841,14.108945564999999,4.760605387142857,5.808981221363636
2011,6.6793392801668725,7.7536008209803935,6.749431816060607,5.398270978947369,13.939213754999999,4.7642301314285715,5.785337661136362
2012,6.589250835282359,7.920455065882352,6.947482126969698,5.557234035263157,13.89828678,4.599957904285715,5.8550257824999985
2013,6.752209679035987,7.941104222352941,6.861454881515152,5.595836022105263,13.781444465,4.924172609999999,5.944863213409089
2014,6.778324720734395,7.85864154,6.99593556848485,5.820091272105263,13.795168175,5.246444887142857,5.867194754545455
